"Keycode","Keyname","Keycount"
49,"1",9481
50,"2",9278
51,"3",6095
52,"4",4297
53,"5",3367
54,"6",2782
55,"7",2948
56,"8",4802
57,"9",8852
48,"0",15264
65,"A",72328
66,"B",17782
67,"C",67043
68,"D",34021
69,"E",119094
70,"F",65434
71,"G",22274
72,"H",32640
73,"I",67776
74,"J",4982
75,"K",5232
76,"L",35401
77,"M",30619
78,"N",53820
79,"O",56214
80,"P",24535
81,"Q",2660
82,"R",48365
83,"S",78464
84,"T",68200
85,"U",33170
86,"V",27251
87,"W",25450
88,"X",17306
89,"Y",13692
90,"Z",15511
16777219,"Backspace",299348
16777220,"Enter",79027
16777217,"Tab",17697
16777252,"Capslock",115
16781922,"Left Shift",96980
16781917,"Left Ctrl",106079
16781915,"Left Alt",5676
16781914,"Right Alt",24
16781916,"Right Ctrl",1
16781921,"Right Shift",6606
16777234,"Left",142014
16777237,"Down",84023
16777236,"Right",120333
16777235,"Up",84144
16777222,"Insert",9
16777232,"Home",3499
16777238,"PageUp",4190
16777223,"Delete",999
16777233,"End",29056
16777239,"PageDown",3397
16777216,"Escape",2024
32,"Space",141576
16777264,"F1",264
16777265,"F2",368
16777266,"F3",5
16777267,"F4",1
16777268,"F5",34
16777269,"F6",0
16777270,"F7",0
16777271,"F8",0
16777272,"F9",7
16777273,"F10",1
16777274,"F11",11
16777275,"F12",19
195,"~",2548
45,"-",14303
61,"=",5802
91,"[",4092
93,"]",1104
92,"\",1051
59,";",8856
39,"'",2819
44,",",9337
46,".",16033
47,"/",7088
